"Printer","Model","Serial Number","Memory","Print Speed","Color","Duplex","Copy","Scan to Fax","Scan to Email","Scan to Network","Fax Receive","Workflow Profile Capable","eSF Capable"
"157.184.92.41","Lexmark X925","7541003200525","","","","","","","","","","",""
"157.184.92.37","Lexmark X738de","94208FW","","","","","","","","","","",""
"157.184.92.36","Lexmark T656","793MX5W","","","","","","","","","","",""
"157.184.92.33","Lexmark X658de","792WRT6","","","","","","","","","","",""
"157.184.92.49","Lexmark X548","752500946072D","","","","","","","","","","",""
"157.184.92.43","Lexmark X466de","35P1CMX","","","","","","","","","","",""
"157.184.92.48","Lexmark X738de","94208FM","","","","","","","","","","",""
"157.184.92.56","Lexmark X656de","792ZWXD","","","","","","","","","","",""
"157.184.92.34","Lexmark X792","756201940021V","","","","","","","","","","",""
"157.184.92.79","Lexmark X658de","793DRV3","","","","","","","","","","",""
"157.184.92.159","Lexmark X656de","79G4DBW","","","","","","","","","","",""
"157.184.92.150","Lexmark X736de","942122F","","","","","","","","","","",""
"157.184.92.167","Lexmark X736de","94203KY","","","","","","","","","","",""
"157.184.92.151","Lexmark X748","75260994400B5","","","","","","","","","","",""
"157.184.207.37","Lexmark X748","75260994400B0","","","","","","","","","","",""
"157.184.172.29","Lexmark X738de","9421H75","","","","","","","","","","",""
"157.184.87.82","Lexmark MX812","","","","","","","","","","","",""
"157.184.87.59","Lexmark MX611dhe","","","","","","","","","","","",""
"157.184.87.67","Lexmark CX510","","","","","","","","","","","",""
"157.184.87.87","Lexmark MX812","","","","","","","","","","","",""
"157.184.87.61","Lexmark X548","752500946075P","","","","","","","","","","",""
"157.184.87.74","Lexmark X651de","NX5HO6U0","","","","","","","","","","",""
"157.184.87.78","Lexmark X925","754100320052C","","","","","","","","","","",""
"157.184.87.65","Lexmark X658de","NWCWG570","","","","","","","","","","",""
"157.184.58.71","Lexmark CS310","502794PTB1073","","","","","","","","","","",""
"157.184.97.35","Lexmark X940e","4L9KY5","","","","","","","","","","",""
"157.184.58.70","Lexmark X204n","5900017","","","","","","","","","","",""
"157.184.58.102","Lexmark C544","502794PTB2186","","","","","","","","","","",""
"157.184.58.81","Lexmark X422","8906WTL","","","","","","","","","","",""
"157.184.97.37","Lexmark Pro1000 Series","SFP0DV38SFP3025","","","","","","","","","","",""
"157.184.58.178","Lexmark MX812","746312790006P","","","","","","","","","","",""
"157.184.65.80","Lexmark Pro4000 Series","4447021700022","","","","","","","","","","",""
"157.184.96.96","Lexmark X925","75411032508P7","","","","","","","","","","",""
"157.184.96.100","Lexmark X658de","79G09TX","","","","","","","","","","",""
"157.184.96.111","Lexmark X658de","793FX1H","","","","","","","","","","",""
"157.184.96.104","Lexmark X658de","794472L","","","","","","","","","","",""
"157.184.96.109","Lexmark X658de","793FX05","","","","","","","","","","",""
"157.184.96.107","Lexmark X658de","793FX0V","","","","","","","","","","",""
"157.184.96.108","Lexmark X658de","793FX11","","","","","","","","","","",""
"157.184.96.106","Lexmark X656de","793527R","","","","","","","","","","",""
"157.184.96.105","Lexmark X854e","0651112","","","","","","","","","","",""
"157.184.96.117","Lexmark X945e","0212338","","","","","","","","","","",""
"157.184.96.113","Lexmark X658de","793FWZR","","","","","","","","","","",""
"157.184.96.116","Lexmark X658de","793FX1P","","","","","","","","","","",""
"157.184.96.115","Lexmark X658de","793FX0B","","","","","","","","","","",""
"157.184.96.112","Lexmark X658de","793FX08","","","","","","","","","","",""
"157.184.96.121","Lexmark X945e","0212399","","","","","","","","","","",""
"157.184.96.120","Lexmark X658de","793F19P","","","","","","","","","","",""
"157.184.96.118","Lexmark X945e","0212326","","","","","","","","","","",""
"157.184.97.73","Lexmark Pro5000 Series","SPCLDVT4AIO1001","","","","","","","","","","",""
"157.184.97.68","Lexmark Pro5000 Series","K200DVT5AIO4015","","","","","","","","","","",""
"157.184.97.67","Lexmark Pro5000 Series","K200DVT4AIO3013","","","","","","","","","","",""
"157.184.97.66","Lexmark Pro5500 Series","","","","","","","","","","","",""
"157.184.97.98","Lexmark X646e","7911NBC","","","","","","","","","","",""
"157.184.97.178","Lexmark Pro1000 Series","SFP0DVT5SFP5003","","","","","","","","","","",""
"157.184.97.75","Lexmark X548dte","VKDVT19400036","","","","","","","","","","",""
"157.184.99.24","Lexmark C772","940P045","","","","","","","","","","",""
"157.184.99.27","Lexmark T642","79240YN","","","","","","","","","","",""
"157.184.99.28","Lexmark C772","940P7XH","","","","","","","","","","",""
"157.184.87.216","Lexmark X651de","U9ZW4C","","","","","","","","","","",""
"157.184.92.90","Lexmark C792","50620194000FR","","","","","","","","","","",""
"157.184.97.248","Lexmark C544","98143P8","","","","","","","","","","",""
"157.184.106.30","Lexmark X646e","7907GDN","","","","","","","","","","",""
"157.184.106.32","Lexmark X952","7558100403835","","","","","","","","","","",""
"157.184.106.38","Lexmark X656de","793525B","","","","","","","","","","",""
"157.184.106.51","Lexmark Pro4000 Series","444701170001P","","","","","","","","","","",""
"157.184.106.73","Lexmark X652de","260CR40","","","","","","","","","","",""
"157.184.106.70","Lexmark X954","7558100403705","","","","","","","","","","",""
"157.184.106.90","Lexmark X748","752650944001F","","","","","","","","","","",""
"157.184.106.65","Lexmark Pro4000 Series","44470117000PB","","","","","","","","","","",""
"157.184.106.66","Lexmark H2","4514PTB300285","","","","","","","","","","",""
"157.184.106.102","HP LaserJet P4515","JPDF201594","","","","","","","","","","",""
"157.184.106.141","Lexmark Pro5500 Series","444701170001Z","","","","","","","","","","",""
"157.184.106.152","Lexmark T656","793MX4W","","","","","","","","","","",""
